ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
97,16.685,-14.7034,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
98,17.5632,-14.1964,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
99,18.4413,-13.6894,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
100,19.3195,-13.1824,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
101,20.1976,-12.6754,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
102,9.65985,-18.7594,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
103,8.7817,-19.2664,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
104,7.90355,-19.7734,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
105,7.0254,-20.2804,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
106,6.14725,-20.7874,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
107,5.2691,-21.2944,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
108,4.39095,-21.8014,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
109,3.5128,-22.3084,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
110,11.4161,-18.7592,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
111,12.2942,-18.2522,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
112,13.1724,-17.7452,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
113,14.0505,-17.2382,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
114,14.9287,-16.7312,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
115,15.8068,-16.2242,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
116,16.685,-15.7172,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
117,17.5631,-15.2102,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
118,18.4413,-14.7032,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
119,19.3194,-14.1962,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
120,20.1976,-13.6892,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
